Email, LastName, FirstName, Country, PhoneNum, Password, 
aabby@yahoo.com, Abby, Alverta, Spain, 398-6655, ~97Xv<iWk`w]v, 
abacup@live.nl, Bacup, Arte, Tajikistan, 209-4446, xqY)&$plSq, 
abanishevitz@live.com, Banishevitz, Amby, Finland, 398-5455, *8xY6/9D~`QB;`, 
abarrie@t-online.de, Barrie, Arther, Venezuela, 429-5702, kc#w]R[`=o, 
abelham@gmx.de, Belham, Arnuad, Angola, 444-1662, o/|54zGs*`GVYX;, 
abirdall@libero.it, Birdall, Armando, Lebanon, 209-8374, YM6l?t=)^\Lw(, 
ableddon@live.it, Bleddon, Ada, Zimbabwe, 925-8818, ^T^hH`(4, 
abrabben@live.it, Brabben, Anne, Eswatini (fmr. "Swaziland"), 209-3077, Vesi[en&<$z:r, 
abulloch@centurytel.net, Bulloch, Amy, China, 908-8671, nm*yYGL6, 
acreighton@club-internet.fr, Creighton, Aubert, United Arab Emirates, 219-8483, m29&hUv5, 
acurtiss@optonline.net, Curtiss, Annmarie, Libya, 209-8796, YQE>(t:\b**K, 
ad'almeida@aol.com, D'Almeida, Amalle, Estonia, 429-8181, }PTlKSk@B"F/YH, 
adalla@rocketmail.com, Dalla, Anne, Bulgaria, 997-2757, [{pLKn?9Jt, 
adoonican@comcast.net, Doonican, Andros, Colombia, 908-6268, W@B7Mgz, 
aduddin@yahoo.it, Duddin, Addi, Marshall Islands, 219-6465, 4W^b;8|"ra`A-, 
adyball@bigpond.com, Dyball, Ahmed, Peru, 398-7382, ]n/<Za\o}e, 
aezele@live.ca, Ezele, Albertine, Bangladesh, 219-7737, "?!'FaW1@Rj9, 
afadell@sfr.fr, Fadell, Amalle, Vietnam, 209-6020, vi_c-+k2l3GsI, 
afebvre@terra.com.br, Febvre, Aubert, Kiribati, 209-1119, yoY/T/KYJ, 
afelipe@mail.com, Felipe, Alexa, Sudan, 429-9551, @h0AZjC]|{x"zy, 
afollacaro@hotmail.it, Follacaro, Albertine, Bolivia, 270-7799, d%rD|`VS|, 
afountaine@googlemail.com, Fountaine, Ada, Sudan, 925-6174, 5?88leH"?N, 
agilburt@live.com, Gilburt, Alva, Cambodia, 925-5254, :[HD4XG@~f0, 
aglover@gmail.com, Glover, Adriano, Latvia, 444-2184, Q:k5UeuFEj6SSB, 
agooddie@voila.fr, Gooddie, Auberon, Antigua and Barbuda, 925-6301, Px)V&VQu'VCO, 
